qid	dqid	start_id	end_id	start_details	end_details	start_ts	end_ts
1	ADDD85BA-94AE-7BB2-984B-3A2D1603FCB1	1	NULL	NULL	NULL	1526006288000	NULL
1	A9A5A5DA-449C-3804-2A42-15BE655B5BDB	12	13	NULL	{"time":0,"won":true}	1526010992000	1526011022000
1	DA53FF7E-A068-4A93-8028-798F7B37DB15	19	NULL	NULL	NULL	1526015437000	NULL
1	75552E5A-8822-91A7-1E14-1161B6C1FBB6	32	33	NULL	{"time":0,"won":true}	1526018717000	1526018744000
1	E375CEE9-5EEF-F1BE-5881-C32972CAAA03	134	135	NULL	{"time":0,"won":true}	1526019114000	1526019129000
1	70E5BE9B-6A07-A9F2-8E09-24765491EFA7	137	NULL	NULL	NULL	1526020586000	NULL
1	DC0EED19-9446-F1E0-43AF-935EFFD338A9	138	139	{"goalTime":"7:35"}	{"time":0,"won":true}	1526020592000	1526020611000
1	D3A55A11-87C4-F559-04F8-8CEB1A364BBE	194	NULL	NULL	NULL	1526020949000	NULL
1	66568542-85F3-47EF-0B44-755D9F7A08B2	195	196	{"goalTime":"7:35"}	{"time":0,"won":true}	1526020950000	1526020963000
1	406E202D-7248-97C5-B2D0-FC4FC49E191A	225	NULL	NULL	NULL	1526021341000	NULL
1	79F53BCA-0876-7EC4-542F-90FE52DDCD53	226	227	{"goalTime":"7:35"}	{"time":0,"won":true}	1526021341000	1526021359000
1	68133654-9115-E803-ACCE-17BBAA0A4F1E	229	NULL	{"goalTime":"7:35"}	NULL	1526021450909	NULL
1	11D71A98-517D-6791-5E98-CE7DBA7EC656	230	NULL	NULL	NULL	1526021450907	NULL
1	03C797F3-4E74-F0A5-D0DE-8020DE3BF894	231	233	NULL	{"won":true,"time":0}	1526021499524	1526021514987
1	A901EA51-71E8-8A00-7FAD-DF8741BD9DAD	232	NULL	{"goalTime":"7:35"}	NULL	1526021499525	NULL
1	5D73A3D4-F92F-A56C-4C22-53E4931A41AB	257	NULL	{"goalTime":"7:35"}	NULL	1526022119311	NULL
1	F2A239CA-9DEF-E3C9-3388-1486860AD36E	258	NULL	NULL	NULL	1526022119309	NULL
1	C06619F7-A1B2-EEB3-D9A4-1E2ED3D95332	303	NULL	NULL	NULL	1526067582846	NULL
1	8FDA9741-DC1B-7609-0A80-009F8F748417	304	NULL	{"goalTime":"7:35"}	NULL	1526067582847	NULL
1	13BEDFBF-3D66-802E-799C-9405AC0CBC8E	308	NULL	{"goalTime":"7:35"}	NULL	1526067735840	NULL
1	50192B2B-D2B1-0688-AEB4-4A1BDA30B332	309	NULL	NULL	NULL	1526067735838	NULL
1	AABD900F-4495-E4C8-2FF3-6D91031E7C39	317	NULL	{"goalTime":"7:35"}	NULL	1526068239451	NULL
1	65593254-3BE3-B338-CA58-7D5EF246AFCB	318	NULL	NULL	NULL	1526068239449	NULL
1	F7E26DC5-17E9-1CCC-3B23-CFF02775D2D5	326	NULL	{"goalTime":"7:35"}	NULL	1526068491504	NULL
1	677722A3-3FC5-6215-1261-FCE9194911CE	327	NULL	NULL	NULL	1526068491503	NULL
1	37D8F9EC-603B-2447-300A-9235F1D381F9	341	NULL	NULL	NULL	1526068908575	NULL
1	1CABE27E-CD49-5936-01D3-5DC78233B9A3	342	NULL	{"goalTime":"7:35"}	NULL	1526068908580	NULL
1	E02F1CEA-3531-9445-0FBE-E1C645470396	349	NULL	{"goalTime":"7:35"}	NULL	1526069249697	NULL
1	59CDCE90-4DEE-9110-FBC1-C7CDCCF03248	350	NULL	NULL	NULL	1526069249692	NULL
1	97E367DF-C1BF-A721-5CBB-7ECA4A849C4F	362	364	{"goalTime":"7:35"}	{"won":true,"time":0}	1526069607350	1526069618485
1	06D69A86-D581-4A1A-EE35-BE1CE1FB1834	363	NULL	NULL	NULL	1526069607346	NULL
1	855A6AC3-9AD1-E221-77F4-CD6F27CCBF35	386	NULL	{"goalTime":"7:35"}	NULL	1526069709454	NULL
1	9BF5D76D-9B59-398D-EA76-682DACCD0FAD	387	NULL	NULL	NULL	1526069709453	NULL
1	62953E54-AB5C-024C-9DD9-77A2C48F1746	388	NULL	{"goalTime":"7:35"}	NULL	1526069728354	NULL
1	6E325B37-3A52-EDE8-6991-C6822554287C	389	NULL	NULL	NULL	1526069728346	NULL
1	2690D02D-A8BB-D631-FCE2-A23EEE1E6490	412	NULL	NULL	NULL	1526071426562	NULL
1	E35D1315-DD3A-6401-1BFD-B6C5EE7FB083	413	414	{"goalTime":"7:35"}	{"won":true,"time":0}	1526071426566	1526071442907
1	190DCEBE-B082-5DF6-BD46-B68B88F877A6	469	NULL	NULL	NULL	1526078593000	NULL
1	A1603FD8-C4E6-3CBE-6B21-93D729F91D4F	470	476	{"goalTime":"7:35"}	{"time":0,"won":true}	1526078594000	1526078674000
1	DBF9EA6E-6303-BE81-5EC8-FBE4DE4783FA	669	NULL	NULL	NULL	1526083644000	NULL
1	25722384-39E2-8325-84FA-68569BEE10ED	670	671	{"goalTime":"7:35"}	{"time":0,"won":true}	1526083644000	1526083660000
1	6E44418B-D64C-BB50-A399-E1F35408D87F	797	NULL	NULL	NULL	1526088274000	NULL
1	AE92C34F-7DE6-454B-3751-123D259105A9	798	799	{"goalTime":"7:35"}	{"time":0,"won":true}	1526088275000	1526088318000
1	36ED87BD-2AEA-2834-C9BA-66886D194BBB	883	NULL	NULL	NULL	1526091175000	NULL
1	6B9208A9-DBF5-4D71-2174-070AFB4E32C4	884	NULL	{"goalTime":"7:35"}	NULL	1526091176000	NULL
1	6F523FA1-4222-CBE1-484E-1737C060BF7B	1504	NULL	NULL	NULL	1526162326000	NULL
1	872F1138-0604-A397-2BC9-1B47D02A635D	1505	1506	{"goalTime":"7:35"}	{"time":0,"won":true}	1526162327000	1526162341000
1	2911BA7D-331C-9A99-1185-D98538D50B4A	1543	NULL	NULL	NULL	1526164863000	NULL
1	C2A050F1-369A-C891-511E-F48344C13E83	1544	1545	{"goalTime":"7:35"}	{"time":0,"won":true}	1526164863000	1526164876000
1	3B3E853B-E732-FF3E-7511-2708A541A609	1840	NULL	NULL	NULL	1526193344000	NULL
1	2E5E69F1-0FE4-0EDC-B92A-4A6A538AE1A9	1841	NULL	{"goalTime":"7:35"}	NULL	1526193345000	NULL
1	01CD919E-A7ED-015F-3F04-1B15D626C581	1918	NULL	NULL	NULL	1526201735000	NULL
1	94A745D1-D80B-5F2D-BC9C-345CF1E7CFE2	1919	NULL	{"goalTime":"7:35"}	NULL	1526201736000	NULL
1	A27F91C7-A82E-E489-2EA2-889058CB3566	1954	NULL	NULL	NULL	1526209737000	NULL
1	6F081691-AAE5-B96B-821A-745B8607461C	1955	1956	{"goalTime":"7:35"}	{"time":0,"won":true}	1526209747000	1526209767000
1	8485656A-46B8-22E0-F601-FDF986F1F2DC	1958	NULL	NULL	NULL	1526216268000	NULL
1	5BF87B6C-BCDE-A001-4009-8788E2FB88C0	1959	1960	{"goalTime":"7:35"}	{"time":0,"won":true}	1526216274000	1526216313000
1	2D008907-2414-3662-7938-D7BD3F49B74C	1962	NULL	NULL	NULL	1526216504000	NULL
1	821ACBFC-7D61-8C70-A1BF-C56D3E82EFDB	1963	1964	{"goalTime":"7:35"}	{"time":0,"won":true}	1526216505000	1526216518000
1	67C245CE-50CD-61F2-F7F4-7DD367954086	1971	NULL	NULL	NULL	1526216893000	NULL
1	94127DA6-BC31-37F2-AB26-565955CC11BB	1972	NULL	{"goalTime":"7:35"}	NULL	1526216894000	NULL
1	5DE3C35B-B4BE-F232-7F55-2EDB2176F5BA	1979	NULL	NULL	NULL	1526217140000	NULL
1	9AEE1A03-FB7B-2E43-D2C9-51D1DD3D27B7	1980	NULL	{"goalTime":"7:35"}	NULL	1526217141000	NULL
1	039B8FED-BD7C-DF52-894A-CA7842D5E796	2262	NULL	NULL	NULL	1526283668000	NULL
1	6D1BD6CD-C4A6-12AE-6E2B-BB8AB69D3B3B	2263	NULL	{"goalTime":"7:35"}	NULL	1526283669000	NULL
1	4A27FC65-9342-D6B5-C139-9278A23CC7AA	2309	NULL	NULL	NULL	1526326291000	NULL
1	50B2136E-192D-6E45-FCE8-72C0C520F408	2310	NULL	{"goalTime":"7:35"}	NULL	1526326292000	NULL
1	B0F1CFAB-1D50-48E0-82F9-FCBA377CC6E2	2311	NULL	NULL	NULL	1526326426000	NULL
1	20B4BB8D-5164-E251-D725-E7FD92E7F729	2312	NULL	{"goalTime":"7:35"}	NULL	1526326427000	NULL
1	21FB0BE7-CB05-C2A6-D7FC-F681AE9CCC07	2422	NULL	NULL	NULL	1526356356000	NULL
1	4AA951AD-4A3E-5367-00B7-5F5D03674C4D	2423	2424	{"goalTime":"7:35"}	{"time":0,"won":true}	1526356357000	1526356385000
1	9C30B509-B809-F595-39EB-13C824ACF88E	2433	NULL	NULL	NULL	1526359448000	NULL
1	0CF1439F-6C14-3B63-C91B-A1177A7DC489	2434	2435	{"goalTime":"7:35"}	{"time":0,"won":true}	1526359454000	1526359474000
1	815E73C4-C09A-C549-0387-4B14BCC3ECA3	2509	NULL	NULL	NULL	1526388251000	NULL
1	3CD32CD8-9C55-133A-AAA3-84CF037034F5	2510	2511	{"goalTime":"7:35"}	{"time":0,"won":true}	1526388261000	1526388287000
