qid	dqid	start_id	end_id	start_details	end_details	start_ts	end_ts
5	65735285-D303-3AE9-F591-7546BF4F21C6	18	NULL	{"goalTime":"7:35"}	NULL	1526013801000	NULL
5	099885C0-7127-8639-8F8F-DFB4570166A8	192	NULL	{"goalTime":"6:55"}	NULL	1526020773000	NULL
5	0C21BB5F-7B14-04A9-68F1-86A84D9D7CD4	193	NULL	NULL	NULL	1526020774000	NULL
5	C322512D-C45A-D6D5-6BDC-1480AA4565DB	204	205	NULL	NULL	1526021004000	1526021009000
5	D0502766-E938-CD18-BD4E-01CE491EB9DE	217	NULL	{"goalTime":"6:55"}	NULL	1526021193000	NULL
5	64A8ED3E-47B7-B544-F991-B6339BCF79D1	218	219	NULL	{"time":3.9666666666667,"answer":"88:88","won":false}	1526021194000	1526021210000
5	29057AC8-6142-C071-273C-73F10B95DB46	243	245	{"goalTime":"6:55"}	{"won":false,"time":12.316666666667,"answer":"88:90"}	1526021564320	1526021581604
5	E58B46D5-3A85-CAB6-2A22-A52A32398E8D	244	NULL	NULL	NULL	1526021564321	NULL
5	45908391-B3F2-351B-E3F2-7A89A65B92BA	324	NULL	NULL	NULL	1526068452253	NULL
5	2CDCE0A3-108F-BCE1-DD87-6D7F022D56B5	325	NULL	{"goalTime":"6:55"}	NULL	1526068452253	NULL
5	406A04B1-02B3-8903-AC3B-A2D4AAF00F7F	328	330	NULL	{"won":true,"time":9.9166666666667}	1526068496181	1526068510871
5	F61A0A3E-6209-2A78-89CC-0093C94302E3	329	NULL	{"goalTime":"6:55"}	NULL	1526068496180	NULL
5	CA9C461D-41CD-7371-FB60-D9C730F82D41	374	NULL	NULL	NULL	1526069657002	NULL
5	EED294AB-C3F2-BE2E-889B-62B2F4D669EF	375	376	{"goalTime":"6:55"}	{"won":false,"time":3.0333333333333,"answer":"88:88"}	1526069657002	1526069663671
5	C451DED4-0560-AF89-6737-7B5D1451BCC3	424	NULL	NULL	NULL	1526071486231	NULL
5	4F321BD6-E293-562F-7814-2E9ECE31ABBB	425	426	{"goalTime":"6:55"}	{"won":false,"time":3.3333333333333,"answer":"88:88"}	1526071486230	1526071495604
5	293DD4CB-9885-21C0-2657-E80C5B04D2F7	499	NULL	{"goalTime":"6:55"}	NULL	1526078954000	NULL
5	BEB0C72C-CEAF-A775-9088-1424BE5AF124	500	508	NULL	{"time":45.249999999999,"won":true}	1526078955000	1526079024000
5	03A68683-BEE0-77D2-B144-A04F6C29E550	807	NULL	{"goalTime":"6:55"}	NULL	1526088367000	NULL
5	5B574BB2-AF73-D773-9B74-48F815738302	808	810	NULL	{"time":2.9666666666667,"answer":"88:88","won":false}	1526088368000	1526088377000
5	805C1B3C-26C9-9ADD-35A7-679A4D17737E	1514	NULL	{"goalTime":"6:55"}	NULL	1526162492000	NULL
5	E7BB75E8-6317-32E0-55E7-7C27D9395B6C	1515	1516	NULL	{"time":38.716666666666,"won":true}	1526162493000	1526162549000
5	32C0D8DC-890A-FA71-C83E-562D5CBD4AB7	1553	NULL	{"goalTime":"6:55"}	NULL	1526164950000	NULL
5	53A6A2FA-A331-1643-5C62-707ABD6256D8	1554	1555	NULL	{"time":13.8,"won":true}	1526164950000	1526164980000
5	81232B5E-C41F-EF5B-C287-2EA6319F96D6	2016	NULL	{"goalTime":"6:55"}	NULL	1526245438000	NULL
5	8C85CBB5-659E-4F3A-EB55-CC4D971DC5FF	2017	2018	NULL	{"time":6.6,"answer":"88:88","won":false}	1526245439000	1526245452000
5	B93F9E08-2684-5D41-DD53-62AAF1FDCC31	2315	NULL	{"goalTime":"6:55"}	NULL	1526326734000	NULL
5	65E85E24-D738-FCD5-DAC1-1D9E04813220	2316	NULL	NULL	NULL	1526326735000	NULL
5	40CE3786-93A3-5304-05A2-0C7B71A62D00	2431	NULL	{"goalTime":"6:55"}	NULL	1526356508000	NULL
5	521F181D-DE90-3C91-EDD3-08246543AD12	2432	NULL	NULL	NULL	1526356509000	NULL
5	2C6FF174-3AA9-E739-AEFA-8CC271BCD75E	2472	NULL	{"goalTime":"6:55"}	NULL	1526368516000	NULL
5	B969CA26-E7B7-E8E6-DF07-F26793E89EFA	2473	2474	NULL	{"time":3.1833333333333,"answer":"88:88","won":false}	1526368517000	1526368527000
5	C87F3180-E09B-3179-22DD-751EF7A854DA	2525	NULL	{"goalTime":"6:55"}	NULL	1526391044000	NULL
5	021A1EC1-5201-0C85-5A1C-75F6532233FB	2526	NULL	NULL	NULL	1526391051000	NULL
5	24CCC9DE-6533-5ED6-39BF-B0A95F471528	2534	NULL	{"goalTime":"6:55"}	NULL	1526394331000	NULL
5	A9E58E55-E3EF-FA7B-19C5-7137653734B1	2535	NULL	NULL	NULL	1526394333000	NULL
5	EB7FC3E3-2BEB-3423-391A-9D5C5434B572	2539	NULL	{"goalTime":"6:55"}	NULL	1526394493000	NULL
5	5560D420-17EF-4F74-4442-152FAF14B6CB	2540	NULL	NULL	NULL	1526394494000	NULL
5	285AFE61-94AD-9CB6-D298-F5117CF873AB	2543	NULL	{"goalTime":"6:55"}	NULL	1526409755000	NULL
5	D3D3B5EE-1EDD-E293-DB5A-6D767704A64E	2544	NULL	NULL	NULL	1526409756000	NULL
5	A52D6213-D48F-3CF4-D0AC-33C0A7C5F060	2573	NULL	{"goalTime":"6:55"}	NULL	1526412548000	NULL
5	33B8934A-0B23-77EF-B1DD-40C306EACA14	2574	2575	NULL	{"time":2.9333333333333,"answer":"88:88","won":false}	1526412550000	1526412567000
5	BD4374A2-FA05-BF87-B85F-C44F75A9A5E1	2595	NULL	{"goalTime":"6:55"}	NULL	1526413491000	NULL
5	D35FA5FB-F1FB-96CA-DBCB-A33471FD8646	2596	NULL	NULL	NULL	1526413492000	NULL
5	703F95AC-DF1D-1273-AA38-5E1DCC4F9909	2615	NULL	{"goalTime":"6:55"}	NULL	1526436949000	NULL
5	B6E8005E-745D-1FED-DD23-9DD17C29E5DD	2616	NULL	NULL	NULL	1526436950000	NULL
5	2B931726-386F-2481-1269-6FC7B7B357F9	2635	NULL	{"goalTime":"6:55"}	NULL	1526475629000	NULL
5	D08C313B-AAB2-3DF9-6E85-359C8DCB2DA8	2636	NULL	NULL	NULL	1526475630000	NULL
5	D6E76488-A5D8-6382-315E-92B63250281A	2694	NULL	{"goalTime":"6:55"}	NULL	1526533711000	NULL
5	3B917801-73E7-AB34-3A92-E0FB407B92F2	2695	NULL	NULL	NULL	1526533712000	NULL
5	57B70A80-D124-AC90-CE43-DA0802AA36CD	2698	NULL	{"goalTime":"6:55"}	NULL	1526533918000	NULL
5	177E0705-7514-CCB9-D3EF-1B5727709883	2699	NULL	NULL	NULL	1526533919000	NULL
