log_no_quest_id	gid	cid	log_ts	aid	a_detail	uid	vid	sessionid	session_seqid	client_ts	multiplayer_uid	multiplayer_seqid
154	1800	2	1526353059	1	NULL	EE44FFDE-34E1-5F39-38BC-7F1F3DBB5E8C	1	B37E72E1-F8E7-57D1-E370-6032CDF12907	1	1526353058258	NULL	0
155	1800	2	1526353699	1	NULL	EE44FFDE-34E1-5F39-38BC-7F1F3DBB5E8C	1	B37E72E1-F8E7-57D1-E370-6032CDF12907	43	1526353697955	NULL	0
156	1800	1	1526356354	1	NULL	4A4B9FFE-6E83-DB6A-C860-7B38B2488597	1	37B1E0D9-C136-C7D3-AB69-19B081A94ADD	1	1526356348000	NULL	0
157	1800	1	1526356507	1	NULL	4A4B9FFE-6E83-DB6A-C860-7B38B2488597	1	37B1E0D9-C136-C7D3-AB69-19B081A94ADD	14	1526356505000	NULL	0
158	1800	1	1526359447	1	NULL	D3D20663-B35E-02FC-AE02-591AE3566B0A	1	NULL	1	1526359441000	NULL	0
159	1800	1	1526359519	1	NULL	D3D20663-B35E-02FC-AE02-591AE3566B0A	1	NULL	10	1526359507000	NULL	0
160	1800	1	1526359596	1	NULL	D3D20663-B35E-02FC-AE02-591AE3566B0A	1	NULL	17	1526359590000	NULL	0
161	1800	1	1526359997	1	NULL	9796422C-4CA1-F6B9-FB5C-B7F460644945	1	35FC94B9-DF12-CD00-AD28-017671F828CF	1	1526359995000	NULL	0
log_no_quest_id	gid	cid	log_ts	aid	a_detail	uid	vid	sessionid	session_seqid	client_ts	multiplayer_uid	multiplayer_seqid
1	1800	1	1526006287	1	NULL	A4A57113-B35E-0583-51FA-D192E429947A	1	6082F8AE-DF74-D32D-4796-9CDC5B08625E	1	1526006285000	NULL	0
2	1800	1	1526015436	1	NULL	C2C3177D-5DB0-E3E2-40E3-480B02488514	1	EE0D91BE-2BC6-3A76-346B-B652FD927EEF	1	1526015435000	NULL	0
3	1800	1	1526018715	1	NULL	C2C3177D-5DB0-E3E0-62C1-6A2920688514	1	2E21BD52-A38A-115D-E4BA-471C1103C196	1	1526018714000	NULL	0
4	1800	1	1526019113	1	NULL	B5B46005-D538-6492-40EC-B7F42F922F6C	1	2D229F1D-CF38-7307-3DD3-EE56CBD0A924	1	1526019112000	NULL	0
5	1800	1	1526020585	1	NULL	F1F0244D-5DB0-E0D2-40E0-7B38FE877A24	1	78D1B3F8-3BED-5F2E-C4B8-7124BC54932D	1	1526020583000	NULL	0
6	1800	1	1526020948	1	NULL	6869BDDF-7F92-C945-379C-B7F44E8994B6	1	000B5E5B-072A-DBDB-B15E-1CE519C7F23A	1	1526020947000	NULL	0
7	1800	1	1526021339	1	NULL	0E0FDBBC-4CA1-FF2C-AE00-7B38F06885D5	1	F3412641-E3B1-A45A-3452-0576B217559A	1	1526021338000	NULL	0
8	1800	1	1526021451	1	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	A03DF736-25F3-C23D-91B9-2EB7C3053875	1	1526021449849	NULL	0
9	1800	1	1526021476	5	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	A03DF736-25F3-C23D-91B9-2EB7C3053875	4	1526021475027	NULL	0
10	1800	1	1526021498	5	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	08F40749-B294-5286-8AF8-1935EE5A8531	1	1526021497548	NULL	0
11	1800	1	1526021499	1	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	08F40749-B294-5286-8AF8-1935EE5A8531	2	1526021498483	NULL	0
12	1800	1	1526022100	5	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	00B48EF6-3356-3EF0-7282-A721E4289BCF	1	1526022099089	NULL	0
13	1800	1	1526022119	1	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	00B48EF6-3356-3EF0-7282-A721E4289BCF	2	1526022118257	NULL	0
14	1800	2	1526062519	1	NULL	4A4B9FF5-D538-6B66-04A7-0C4FCE88859C	1	32760D32-DE6F-105D-3BB3-9ED00476386D	1	1526062518000	NULL	0
15	1800	1	1526067582	1	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	5E644D89-AF72-66D2-BB2D-C38FA393B6C5	1	1526067581788	NULL	0
16	1800	1	1526067735	1	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	4B0DD5BB-C6CC-1E31-8B9E-ECD040D3B9C9	1	1526067734781	NULL	0
17	1800	1	1526068047	1	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	581434FE-5C10-BBA9-7FE0-3117D98BDE92	1	1526068046950	NULL	0
18	1800	1	1526068239	1	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	F8CB7478-10E6-B22D-EC8D-788F0C64A229	1	1526068238392	NULL	0
19	1800	1	1526068431	1	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	F8CB7478-10E6-B22D-EC8D-788F0C64A229	8	1526068430196	NULL	0
20	1800	1	1526068434	1	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	F8CB7478-10E6-B22D-EC8D-788F0C64A229	9	1526068433296	NULL	0
21	1800	1	1526068452	1	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	F8CB7478-10E6-B22D-EC8D-788F0C64A229	12	1526068451160	NULL	0
22	1800	1	1526068704	1	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	AF12CC41-48F5-F044-E756-C5D6C2E37ED6	1	1526068703280	NULL	0
23	1800	1	1526068853	1	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	D6DDA060-BF4D-7E7D-3E71-5E3C7A99A337	1	1526068852345	NULL	0
24	1800	1	1526068908	1	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	6E7AB5F3-7BAC-14D2-7F21-C00B42CBD73B	1	1526068907524	NULL	0
25	1800	1	1526069249	1	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	931F6085-31B9-1408-1F09-F26F1C74DF7A	1	1526069248634	NULL	0
26	1800	1	1526069607	1	NULL	02334B5E-9659-1341-4917-B1F67A202234	1	AD0E6FD6-AAC2-2598-6365-AA4D44918DC5	1	1526069606288	NULL	0
27	1800	1	1526069709	1	NULL	02334B5E-9659-1341-4917-B1F67A202234	1	AD0E6FD6-AAC2-2598-6365-AA4D44918DC5	33	1526069708421	NULL	0
28	1800	1	1526069728	1	NULL	96AFB7E8-A634-652F-770E-F6E2D0857B89	1	5E042837-3CEF-C613-6C3A-EF3C6483A9E9	1	1526069727253	NULL	0
29	1800	1	1526071426	1	NULL	6D70AB3B-755E-58BE-5C40-70DE477E97B1	1	9A61BB6F-764B-58B6-1C57-5F6B9A6B8B49	1	1526071425458	NULL	0
30	1800	2	1526078370	1	NULL	797F40C7-3E9B-8784-FA75-712B57ADFB09	1	2EBCAA8B-419C-91F4-A316-294F3D95237D	1	1526078367483	NULL	0
31	1800	1	1526078592	1	NULL	0E0FDBBF-7F92-CF25-379A-D192842558D6	1	BFD35D52-4FCA-DE32-5F6A-25489B9C558A	1	1526078591000	NULL	0
32	1800	2	1526078600	1	NULL	05420381-4EEC-7991-F512-27E4EC73138D	1	D5C90C62-B556-1B37-8882-C671FAD3090E	1	1526078600719	NULL	0
33	1800	2	1526078758	1	NULL	57FFF080-4BCA-6CD3-AB24-AED83FBF93BB	1	EE061215-5837-AB22-4FEB-3F875B505643	1	1526078757667	NULL	0
34	1800	2	1526078794	1	NULL	DD1174D8-1B2C-0E4E-D9CF-99A1302A170C	1	CA42C478-E549-0E17-EA1F-1283991371E3	1	1526078793765	NULL	0
35	1800	2	1526078964	1	NULL	85A58FC1-9F8D-C047-6452-C9FB48D4D290	1	733D6481-DF7F-DE86-9279-2BCA862E3416	1	1526078963704	NULL	0
36	1800	2	1526079118	1	NULL	F2ACE626-34CA-CA13-8CFF-1BB88C3ED2C3	1	1705C8BC-DDE1-8B83-9CFA-138AE0559854	1	1526079117744	NULL	0
37	1800	2	1526079160	1	NULL	F0734CFA-8500-7355-5663-24DE6BCFCE7B	1	C2C196A9-BA50-307F-0D12-B5EB1704D0AA	1	1526079159142	NULL	0
38	1800	2	1526079276	1	NULL	D4453DE7-E38B-26C5-0841-0BF7939EE3DE	1	3E98052E-9ADE-1C2A-D123-27087ACD2412	1	1526079275588	NULL	0
39	1800	2	1526079664	1	NULL	92EEE7E6-09DC-7740-79FC-6E2305D54FAC	1	AF91A1BF-F4CE-B5D4-935D-721A4F89D495	1	1526079663355	NULL	0
40	1800	2	1526080818	1	NULL	32853CB6-838E-AC18-3166-5688F0D4C7F2	1	4F31A233-6B45-E462-D881-8F67C03F7745	1	1526080817902	NULL	0
41	1800	2	1526080819	1	NULL	32853CB6-838E-AC18-3166-5688F0D4C7F2	1	4F31A233-6B45-E462-D881-8F67C03F7745	2	1526080818063	NULL	0
42	1800	2	1526082209	1	NULL	B5C76860-2428-5D2A-D121-A103B19DDCCB	1	94720322-58B1-F4DE-53D5-5201A1EB5EFC	1	1526082208027	NULL	0
43	1800	2	1526082209	1	NULL	B5C76860-2428-5D2A-D121-A103B19DDCCB	1	94720322-58B1-F4DE-53D5-5201A1EB5EFC	2	1526082208346	NULL	0
44	1800	2	1526082404	1	NULL	B6A43698-A3C6-D633-F22D-95360B3EE08B	1	5C69892B-5BA2-A50E-7768-6D1C917486A2	1	1526082406462	NULL	0
45	1800	2	1526082421	1	NULL	3C794EF8-6729-6591-7BBD-8D1939B1D43C	1	F42E20C8-4AC8-E7DB-5315-2D17C97682F2	1	1526082419666	NULL	0
46	1800	2	1526082515	1	NULL	E03AA936-D22C-ADD9-EE1D-0B691FFA6A0C	1	4BB60604-83A3-7EA1-7E85-69C093D2BB5B	1	1526082514901	NULL	0
47	1800	2	1526082606	1	NULL	8AA0A234-262A-5745-60F2-0E756DB94F8D	1	014AF779-6FE5-1163-4ACF-561C14183B9A	1	1526082605820	NULL	0
48	1800	2	1526083098	1	NULL	CF834AF1-21B9-18E9-7D76-ABFDC310C782	1	8F7116D8-12CE-BEB6-AA3B-18938F844DB9	1	1526083097157	NULL	0
49	1800	2	1526083437	1	NULL	8AA0A234-262A-5745-60F2-0E756DB94F8D	1	3FF53634-4D84-2414-2FF9-94A9CA119DCF	1	1526083436322	NULL	0
50	1800	2	1526083482	1	NULL	19FC31C3-8C18-94C4-57A4-4644A46B3833	1	1608D2BD-BE49-4471-EFEF-F518E672F7F8	1	1526083481402	NULL	0
51	1800	1	1526083643	1	NULL	E0E13555-D538-61C1-73DA-D192917AA73C	1	C074B240-4A13-40E1-611C-9213087B9232	1	1526083642000	NULL	0
52	1800	2	1526083737	1	NULL	24B2D6EE-54ED-D9F4-60FD-29304F4D8E92	1	E5F60A13-1F6C-8BDF-F828-4F8EC25C817F	1	1526083805307	NULL	0
53	1800	2	1526085165	1	NULL	D21E5DD9-298C-6461-88BA-04A9A16CF699	1	BBE47A71-E205-1DEF-F34C-6D90D8D049C6	1	1526085165123	NULL	0
54	1800	2	1526085821	1	NULL	5714E241-C5F2-DCD2-79FF-4C3D2DA52341	1	6E603EDB-A1CB-72DA-43A2-88127B83B339	1	1526085817255	NULL	0
55	1800	2	1526086036	1	NULL	9FC34ECA-DFCA-13B1-6007-6D0EB2760842	1	D9CBC3C2-D929-96DE-DA6A-E1C21FA99B41	1	1526086036532	NULL	0
56	1800	1	1526088270	1	NULL	B5B46005-D538-649D-BF13-480B0DBFF26C	1	F7AA6E29-7E3C-614F-9B7C-D39529E8348E	1	1526088268000	NULL	0
57	1800	2	1526088424	1	NULL	967CB452-B8EE-62B5-AC91-F46EA1F07A89	1	5503CE25-581F-CA3C-C2E5-3C2DF1BAD373	1	1526088419306	NULL	0
58	1800	2	1526088629	1	NULL	FA04E7C4-4EE4-D16D-B65F-1C500F8E2A6B	1	425DBF66-4843-649F-9399-F9F7E7BBB0D3	1	1526088628861	NULL	0
59	1800	2	1526088741	1	NULL	E1EDABA1-F9C0-543E-979F-F927299698ED	1	9990BF29-F048-BB74-057F-9A609242B263	1	1526088737439	NULL	0
60	1800	1	1526091174	1	NULL	3D3CE883-B35E-0C13-51F3-480B8BDFF2EA	1	01C7E64F-652C-CD45-02E7-A978E12A60C6	1	1526091173000	NULL	0
61	1800	2	1526098641	1	NULL	7D03317C-BA83-5AEC-A39F-5AEC24895694	1	D0B6D0F7-6794-79C5-5C64-1B5215557E07	1	1526098637619	NULL	0
62	1800	2	1526100290	1	NULL	E0AC51BC-1CEA-6E53-0728-C28236490665	1	87C80576-4F38-86C9-9D1C-64A08273AAF4	1	1526100287463	NULL	0
63	1800	2	1526100294	1	NULL	39B61899-C4BD-0F05-DD6D-899081381DD4	1	D38F6512-847D-4CF1-719C-0B501448C364	1	1526100291888	NULL	0
64	1800	2	1526100392	1	NULL	0CDD0A0F-B2AE-BD99-6A0C-911A0E1715E4	1	78A86A5D-6C8A-3149-E49F-FB3C2BDBA111	1	1526100390285	NULL	0
65	1800	2	1526100393	1	NULL	0CDD0A0F-B2AE-BD99-6A0C-911A0E1715E4	1	78A86A5D-6C8A-3149-E49F-FB3C2BDBA111	2	1526100390882	NULL	0
66	1800	2	1526100776	1	NULL	39B61899-C4BD-0F05-DD6D-899081381DD4	1	D38F6512-847D-4CF1-719C-0B501448C364	52	1526100774491	NULL	0
67	1800	2	1526100938	1	NULL	39B61899-C4BD-0F05-DD6D-899081381DD4	1	EAB81292-CF87-3FF4-9E07-BA9A1D6F21A0	1	1526100935880	NULL	0
68	1800	2	1526102191	1	NULL	B68D0C50-5581-4DB0-598A-999B7692E9CC	1	9F661D23-F34B-85F0-6AC4-D99C25E8608B	1	1526102187188	NULL	0
69	1800	2	1526103474	1	NULL	BD89258A-E161-2627-1BBC-508F816FA4CD	1	E10EF8DA-36C7-3E8F-446A-8BCE97F57CCD	1	1526103471639	NULL	0
70	1800	2	1526105251	1	NULL	B25ED12B-4D11-8146-A9FA-D8FF20E67526	1	91F21E0D-ADA5-E977-D003-8C54DD40C3CA	1	1526105249454	NULL	0
71	1800	2	1526105566	1	NULL	A19FA7A0-8BC8-9AB0-FF7F-BD2E892F927B	1	18E9C5C2-DB93-8500-123F-4DAFE5709360	1	1526105564788	NULL	0
72	1800	2	1526105954	1	NULL	A053FFB2-EF94-FFE8-DF3B-C60552CF9F48	1	7E0EC44B-FB0A-E347-B427-FC6E95241097	1	1526105931191	NULL	0
73	1800	2	1526106042	1	NULL	AE68B137-46AA-7C29-9C46-124F825AA670	1	2034DD50-D97D-D60E-4021-ED4FCE7C866D	1	1526106038617	NULL	0
74	1800	2	1526106239	1	NULL	A19FA7A0-8BC8-9AB0-FF7F-BD2E892F927B	1	18E9C5C2-DB93-8500-123F-4DAFE5709360	44	1526106236732	NULL	0
75	1800	2	1526106555	1	NULL	E5C4F86F-C723-E169-2575-4635EE7A002E	1	7CD795CD-E844-E247-032C-D641D8F66BB9	1	1526106555633	NULL	0
76	1800	2	1526106562	1	NULL	A053FFB2-EF94-FFE8-DF3B-C60552CF9F48	1	7E0EC44B-FB0A-E347-B427-FC6E95241097	34	1526106539212	NULL	0
77	1800	2	1526106567	1	NULL	A19FA7A0-8BC8-9AB0-FF7F-BD2E892F927B	1	B87BB19C-6AE9-FD19-3440-670E390D2FF8	1	1526106564742	NULL	0
78	1800	2	1526106610	1	NULL	A19FA7A0-8BC8-9AB0-FF7F-BD2E892F927B	1	CF604AD8-E875-6066-A857-9E27F67983DB	1	1526106608223	NULL	0
79	1800	2	1526106728	1	NULL	AE68B137-46AA-7C29-9C46-124F825AA670	1	2034DD50-D97D-D60E-4021-ED4FCE7C866D	41	1526106723793	NULL	0
80	1800	2	1526106892	1	NULL	E5C4F86F-C723-E169-2575-4635EE7A002E	1	7CD795CD-E844-E247-032C-D641D8F66BB9	33	1526106892464	NULL	0
81	1800	2	1526106910	1	NULL	A053FFB2-EF94-FFE8-DF3B-C60552CF9F48	1	031C7BAD-9356-794F-D40E-316F28104DB4	1	1526106887622	NULL	0
82	1800	2	1526107074	1	NULL	A053FFB2-EF94-FFE8-DF3B-C60552CF9F48	1	031C7BAD-9356-794F-D40E-316F28104DB4	33	1526107050495	NULL	0
83	1800	2	1526107264	1	NULL	A053FFB2-EF94-FFE8-DF3B-C60552CF9F48	1	031C7BAD-9356-794F-D40E-316F28104DB4	82	1526107240689	NULL	0
84	1800	2	1526107835	1	NULL	A6EE622C-E3BB-5833-9A85-E82B20439D13	1	06DF9DD6-ED8F-6143-404F-34B9FACCD4A5	1	1526107833493	NULL	0
85	1800	2	1526108286	1	NULL	A6EE622C-E3BB-5833-9A85-E82B20439D13	1	06DF9DD6-ED8F-6143-404F-34B9FACCD4A5	38	1526108284371	NULL	0
86	1800	2	1526108829	1	NULL	9B37AC66-0F9E-6828-BF53-D4B8DB981D1D	1	F99AD906-61B5-4338-6346-6530417655D6	1	1526108826952	NULL	0
87	1800	2	1526137516	1	NULL	4179C13D-C78E-D6E1-BE41-1B3B3E9C18CE	1	0D4C3A8D-F24E-7583-0495-0F71A5339E50	1	1526137509933	NULL	0
88	1800	2	1526138089	1	NULL	4179C13D-C78E-D6E1-BE41-1B3B3E9C18CE	1	0D4C3A8D-F24E-7583-0495-0F71A5339E50	33	1526138082123	NULL	0
89	1800	2	1526147994	1	NULL	5840DD50-B7EF-681E-B7D4-21981CB7A993	1	AF4930F3-AE6C-B6ED-71F1-22807E23FD1B	1	1526147992745	NULL	0
90	1800	2	1526148663	1	NULL	5840DD50-B7EF-681E-B7D4-21981CB7A993	1	AF4930F3-AE6C-B6ED-71F1-22807E23FD1B	38	1526148662167	NULL	0
91	1800	2	1526149086	1	NULL	5840DD50-B7EF-681E-B7D4-21981CB7A993	1	AF4930F3-AE6C-B6ED-71F1-22807E23FD1B	68	1526149084952	NULL	0
92	1800	2	1526149294	1	NULL	08D8158A-45EB-5872-727C-1FD3D6FB40D9	1	91D54C1D-68E4-C06A-DEB5-3D5DC16B1F1B	1	1526149293031	NULL	0
93	1800	2	1526149741	1	NULL	5840DD50-B7EF-681E-B7D4-21981CB7A993	1	AF4930F3-AE6C-B6ED-71F1-22807E23FD1B	96	1526149740180	NULL	0
94	1800	2	1526151172	1	NULL	944E11CF-8B6E-D58E-A77D-D02776D018F0	1	7FFDAFA7-4598-9B0C-0DFD-8E3558031E5E	1	1526151171302	NULL	0
95	1800	2	1526155541	1	NULL	AD586E8E-F173-13DD-9196-D97A705DF9BD	1	37B8DF81-7843-5534-DCB1-BBF08551FCE1	1	1526155540977	NULL	0
96	1800	2	1526156242	1	NULL	AD586E8E-F173-13DD-9196-D97A705DF9BD	1	37B8DF81-7843-5534-DCB1-BBF08551FCE1	37	1526156241574	NULL	0
97	1800	2	1526156278	1	NULL	B659E28A-F476-001C-95B3-D4948F350B48	1	EF90A2FA-E44D-6848-C82A-42FF5AE444FC	1	1526156281458	NULL	0
98	1800	2	1526156279	1	NULL	92335C1B-ABC1-DC11-FE17-530B6EF2C863	1	883E711A-C1DD-4B5A-AE05-6AC7DA7AB24F	1	1526156278417	NULL	0
99	1800	2	1526156564	1	NULL	AD586E8E-F173-13DD-9196-D97A705DF9BD	1	37B8DF81-7843-5534-DCB1-BBF08551FCE1	68	1526156563623	NULL	0
100	1800	2	1526157669	1	NULL	FD1B34B3-FEC1-366A-C79C-5D3A8C580341	1	4A847FC3-185F-43A8-F979-EDDC136AFC84	1	1526157668324	NULL	0
101	1800	1	1526162325	1	NULL	3D3CE883-B35E-0C14-2684-3F7CEDBEE3EA	1	4D8A7D27-EC4A-D7FA-3181-F623CD7AD744	1	1526162324000	NULL	0
102	1800	2	1526163722	1	NULL	DD996852-E4B4-F9E3-8634-5F62FBE9FDDA	1	CFE8D76C-C958-2D8E-167B-D4058B09A341	1	1526163722150	NULL	0
103	1800	2	1526164070	1	NULL	66CC8442-B5CB-9F55-AF96-136851E55CAF	1	19CA6484-D47C-8601-C2B9-A93D848B6952	1	1526164067496	NULL	0
104	1800	1	1526164861	1	NULL	C2C31773-B35E-03E3-51FC-B7F4C06BB61A	1	C08BD39D-451D-58FA-83B1-576CD8C76A23	1	1526164860000	NULL	0
105	1800	2	1526167872	1	NULL	B403E539-1C4C-226B-4DE3-647A878C630E	1	5EE1DC6F-F320-B8AE-CDF6-7D3C427A0D4C	1	1526167871458	NULL	0
106	1800	2	1526168487	1	NULL	B403E539-1C4C-226B-4DE3-647A878C630E	1	5EE1DC6F-F320-B8AE-CDF6-7D3C427A0D4C	57	1526168485834	NULL	0
107	1800	2	1526173476	1	NULL	72C299E6-ECB5-61A7-26DC-B66D29CF3C15	1	6177F9B8-3A42-6246-5CD0-6F333315690C	1	1526173475201	NULL	0
108	1800	2	1526175297	1	NULL	0353D509-1CB3-7E6C-4423-0C8C82441424	1	FD4A80E3-8BB3-4FCF-1EF7-9FEBA531DFFF	1	1526175289090	NULL	0
109	1800	2	1526175618	1	NULL	C2E4C919-1E08-F837-10DF-1E3C4FD41BDB	1	CB0F53B6-F58D-E903-60F2-5E193B321572	1	1526175618443	NULL	0
110	1800	2	1526178862	1	NULL	DEE846CE-CAEE-2D3D-9A03-ACF32EFD4DE0	1	50A1430C-6F0D-E4E5-76CE-C63DB8B62A49	1	1526178852310	NULL	0
111	1800	2	1526179029	1	NULL	0B5AE36B-8066-D9DB-1D42-E993273EA1DC	1	2A868DA6-0677-ABB8-C688-7007F2951FD2	1	1526179027790	NULL	0
112	1800	2	1526179060	1	NULL	DEE846CE-CAEE-2D3D-9A03-ACF32EFD4DE0	1	F0D9FB28-26DB-1F5A-6C7C-18FE919AB487	1	1526179055992	NULL	0
113	1800	2	1526179409	1	NULL	DEE846CE-CAEE-2D3D-9A03-ACF32EFD4DE0	1	F0D9FB28-26DB-1F5A-6C7C-18FE919AB487	36	1526179399856	NULL	0
114	1800	2	1526184882	1	NULL	48D4D3DF-AD9F-7915-6EC7-9F0CDABAA67E	1	01128B39-B0D6-F746-6E12-DD1569472E00	2	1526184878800	NULL	0
115	1800	2	1526184882	1	NULL	48D4D3DF-AD9F-7915-6EC7-9F0CDABAA67E	1	01128B39-B0D6-F746-6E12-DD1569472E00	1	1526184878350	NULL	0
116	1800	2	1526186579	1	NULL	8732D245-F18F-E47E-02E6-58636E7BBCF3	1	C59D494D-C02B-8E7D-1958-F6CFEED62240	1	1526186578686	NULL	0
117	1800	1	1526193343	1	NULL	9796422F-7F92-C6BC-AE0A-D19214255846	1	A7503D0D-E5F9-BCCF-4215-063F8B2FC9AA	1	1526193342000	NULL	0
118	1800	2	1526200493	1	NULL	33B01C6A-C424-9D2C-ACA0-F83CC8E26D5C	1	73856605-CBDC-B502-6E52-BBE7F4AB03B9	1	1526200491899	NULL	0
119	1800	2	1526201500	1	NULL	F675091E-3D90-60C0-3184-F0A30FB36674	1	C83C00CD-5F8E-54BC-DD47-24135E241253	1	1526201497733	NULL	0
120	1800	1	1526201734	1	NULL	1F1ECAAB-3BD6-8E36-04AC-B7F43AC994C2	1	91F61435-84E2-4C7C-4A94-DB3B62E587A0	1	1526201732000	NULL	0
121	1800	1	1526209735	1	NULL	F1F02449-19F4-A0D5-3793-480BC9F77A20	1	NULL	1	1526209723000	NULL	0
122	1800	1	1526216267	1	NULL	7978ACC3-B35E-0852-40E6-1D5EDACBB6AA	1	E1F13AA4-9F0A-27CA-B8DB-C08DE0044E4C	1	1526216260000	NULL	0
123	1800	1	1526216503	1	NULL	B5B46007-F71A-4492-40EE-95D6871AA76E	1	EA3CA211-FC9C-7582-4173-CD3AECAF4D2A	1	1526216501000	NULL	0
124	1800	2	1526242942	1	NULL	5840DD50-B7EF-681E-B7D4-21981CB7A993	1	5ED34556-F94B-4EF9-92CF-43EC76A9E28D	1	1526242941867	NULL	0
125	1800	2	1526245823	1	NULL	3AB61F84-DB7B-009B-9C40-1E1D90D94C4B	1	FC54D108-E3A3-6A1C-64CE-92EEA76D2243	1	1526245822395	NULL	0
126	1800	2	1526246290	1	NULL	46C4E19F-2BCE-0408-4C79-5C4027116D62	1	97E9081F-F0CC-C9DC-D8D7-DDB767493FCD	1	1526246288276	NULL	0
127	1800	2	1526246536	1	NULL	3BE0FFBA-CECD-7220-C16D-8047ADB51F26	1	7D5100A7-405E-3068-78EF-2D56AB238452	1	1526246534352	NULL	0
128	1800	2	1526246792	1	NULL	DE4DDBFE-9949-65B9-2D6F-22DC2A595CCB	1	EA8417C1-BF35-8D35-79F2-51FB284FA993	1	1526246790356	NULL	0
129	1800	2	1526248761	1	NULL	1B6254AB-845A-BCB8-C5D5-91346636A875	1	5F265562-BD45-5771-29BA-F348DA9BC49F	1	1526248760143	NULL	0
130	1800	2	1526249215	1	NULL	722758FA-C046-3117-C119-1ED2DFEA131A	1	4C29EF9F-0F59-43E7-E179-D2753C64E3A3	1	1526249214674	NULL	0
131	1800	2	1526249330	1	NULL	8F32919E-7CB3-D2C7-971C-E114BC905CD9	1	7F664D26-FCCD-4F5D-9950-A764A02CF97C	1	1526249329420	NULL	0
132	1800	2	1526249970	1	NULL	73B1A6AC-AA0E-EB2B-5F68-8CB85C2A1D67	1	705DC63A-2A89-AAB0-E742-067D017EDB56	1	1526249969133	NULL	0
133	1800	2	1526250399	1	NULL	0F7A4070-0A8C-DD14-1801-A0A2B2C00FC2	1	7D89BF20-179C-9D0F-DDBD-6C9E822CD005	1	1526250398143	NULL	0
134	1800	2	1526253276	1	NULL	60DEB235-B0BE-50C4-F73F-619DA29C7852	1	16207703-8A87-C4CD-67DA-3E9DF627A00F	1	1526253274292	NULL	0
135	1800	2	1526253709	1	NULL	60DEB235-B0BE-50C4-F73F-619DA29C7852	1	16207703-8A87-C4CD-67DA-3E9DF627A00F	56	1526253707969	NULL	0
136	1800	2	1526254464	1	NULL	084E8882-D063-4AEA-B703-2C21599DB579	1	C5FB8F49-797C-BE87-4020-17C47C10A203	1	1526254463307	NULL	0
137	1800	2	1526263154	1	NULL	4B698C96-2671-B10E-146D-0D1A13494B60	1	69ED938B-B0D9-3081-F9B7-12D380A0B5A0	1	1526263152345	NULL	0
138	1800	2	1526265591	1	NULL	6787A9DC-3F26-1133-2D8F-3F514C03A24F	1	BFA08A62-59B5-0068-4365-145796C170CC	1	1526265591258	NULL	0
139	1800	2	1526267014	1	NULL	FD748CEB-DEFD-B9ED-A813-B6F13B48A496	1	FCBB49B0-E702-F70B-58C1-25A75DFBE515	1	1526267012331	NULL	0
140	1800	1	1526283666	1	NULL	2C2DF99D-5DB0-ED0F-9D30-7B387BD22FF4	1	5EB475FF-6F9B-40B3-E91D-D49EDBCD0BB0	1	1526283665000	NULL	0
141	1800	2	1526295026	1	NULL	59C1F193-167A-1346-4780-28310F1A5ECF	1	13D1C5D5-2D74-6532-387C-07098C375E46	1	1526295021080	NULL	0
142	1800	1	1526321344	1	NULL	4A4B9FFE-6E83-DB6B-D971-6A29F60DD097	1	1C3C574D-8B09-268F-EA96-34C86A251BA5	8	1526321344000	NULL	0
143	1800	2	1526325259	1	NULL	883DA6BB-4E3C-2BD8-AB0E-94677E05BFBB	1	87A9BA2A-9BF9-34CB-5AEF-BA78D2AFB368	1	1526325250899	NULL	0
144	1800	2	1526325347	1	NULL	EF9D85E1-0F9F-B8B1-A832-1A6501F803E7	1	2F9D158E-103A-2D3C-71FD-CA20B0715A1A	1	1526325345438	NULL	0
145	1800	2	1526325751	1	NULL	EF9D85E1-0F9F-B8B1-A832-1A6501F803E7	1	2F9D158E-103A-2D3C-71FD-CA20B0715A1A	38	1526325749757	NULL	0
146	1800	2	1526329951	1	NULL	B0C309F6-518C-4894-24C7-A23F65D2C86C	1	058DCE08-0F58-4F7C-4BBF-44545A91D810	1	1526329952936	NULL	0
